"CHASSIS_NUMBER","SALES_DEALER_ID","SALE_DATE","SALE_PRICE"
"CH00010039","DEALER_001","2020-01-01",67546.90
"CH00010040","DEALER_001","2020-01-01",110910.19
"CH00010054","DEALER_001","2020-01-01",132224.32
"CH00010147","DEALER_001","2020-01-01",133918.30
"CH00010213","DEALER_001","2020-01-01",102977.72
"CH00010224","DEALER_001","2020-01-01",190118.40
"CH00010266","DEALER_001","2020-01-01",109529.18
"CH00010290","DEALER_001","2020-01-01",78963.69
"CH00010312","DEALER_001","2020-01-01",126314.18
"CH00010341","DEALER_001","2020-01-01",55652.75
"CH00010346","DEALER_001","2020-01-01",146749.27
"CH00010369","DEALER_001","2020-01-01",69182.40
"CH00010378","DEALER_001","2020-01-01",115552.09
"CH00010388","DEALER_001","2020-01-01",254222.88
"CH00010398","DEALER_001","2020-01-01",80520.96
"CH00010399","DEALER_001","2020-01-01",128114.10
"CH00010418","DEALER_001","2020-01-01",107567.52
"CH00010431","DEALER_001","2020-01-01",146043.09
"CH00010575","DEALER_002","2020-01-01",64515.22
"CH00010578","DEALER_002","2020-01-01",68047.64
"CH00010617","DEALER_002","2020-01-01",107462.53
"CH00010710","DEALER_002","2020-01-01",118453.72
"CH00010747","DEALER_002","2020-01-01",256316.80
"CH00010832","DEALER_002","2020-01-01",130019.84
"CH00010898","DEALER_002","2020-01-01",120905.74
"CH00010911","DEALER_002","2020-01-01",147189.07
"CH00010923","DEALER_002","2020-01-01",108753.40
"CH00010961","DEALER_002","2020-01-01",116895.29
"CH00010974","DEALER_002","2020-01-01",207698.67
"CH00010988","DEALER_002","2020-01-01",145365.13
"CH00011097","DEALER_002","2020-01-01",78717.67
"CH00011109","DEALER_002","2020-01-01",125817.67
"CH00011138","DEALER_002","2020-01-01",76006.02
"CH00011224","DEALER_002","2020-01-01",67083.23
"CH00011233","DEALER_002","2020-01-01",246002.87
"CH00011248","DEALER_002","2020-01-01",175511.53
"CH00011270","DEALER_002","2020-01-01",68430.93
"CH00011282","DEALER_003","2020-01-01",106899.43
"CH00011288","DEALER_003","2020-01-01",118432.32
"CH00011340","DEALER_003","2020-01-01",120656.90
"CH00011366","DEALER_003","2020-01-01",179313.88
"CH00011412","DEALER_003","2020-01-01",54622.32
"CH00011444","DEALER_003","2020-01-01",149358.50
"CH00011450","DEALER_003","2020-01-01",127131.90
"CH00011484","DEALER_003","2020-01-01",131213.37
"CH00011491","DEALER_003","2020-01-01",130152.88
"CH00011516","DEALER_003","2020-01-01",55237.54
"CH00011523","DEALER_003","2020-01-01",68204.24
"CH00011564","DEALER_003","2020-01-01",103962.22
"CH00011581","DEALER_003","2020-01-01",188521.40
"CH00011598","DEALER_003","2020-01-01",63770.98
"CH00011615","DEALER_003","2020-01-01",121591.04
"CH00011618","DEALER_003","2020-01-01",129376.85
"CH00011654","DEALER_003","2020-01-01",131708.76
"CH00011656","DEALER_003","2020-01-01",102952.08
"CH00011673","DEALER_003","2020-01-01",113226.23
"CH00011715","DEALER_003","2020-01-01",68338.62
"CH00011730","DEALER_003","2020-01-01",63437.22
"CH00011812","DEALER_003","2020-01-01",56799.99
"CH00011896","DEALER_003","2020-01-01",146413.46
"CH00011927","DEALER_004","2020-01-01",68657.17
"CH00011978","DEALER_004","2020-01-01",64706.30
"CH00011991","DEALER_004","2020-01-01",126713.66
"CH00012009","DEALER_004","2020-01-01",138917.47
"CH00012022","DEALER_004","2020-01-01",75735.22
"CH00012143","DEALER_004","2020-01-01",59601.11
"CH00012174","DEALER_004","2020-01-01",68621.35
"CH00012186","DEALER_004","2020-01-01",70860.35
"CH00012214","DEALER_004","2020-01-01",133097.13
"CH00012225","DEALER_004","2020-01-01",115209.43
"CH00012308","DEALER_004","2020-01-01",60955.04
"CH00012332","DEALER_004","2020-01-01",64498.79
"CH00012334","DEALER_004","2020-01-01",56629.27
"CH00012351","DEALER_004","2020-01-01",255049.07
"CH00012360","DEALER_004","2020-01-01",63946.46
"CH00012371","DEALER_004","2020-01-01",59577.89
"CH00012385","DEALER_004","2020-01-01",69076.27
"CH00012398","DEALER_004","2020-01-01",69661.70
"CH00012455","DEALER_004","2020-01-01",77819.40
"CH00012476","DEALER_004","2020-01-01",103939.26
"CH00012525","DEALER_004","2020-01-01",125777.15
"CH00012536","DEALER_004","2020-01-01",72271.97
"CH00012538","DEALER_004","2020-01-01",212506.21
"CH00012546","DEALER_004","2020-01-01",68661.93
"CH00012594","DEALER_005","2020-01-01",127246.87
"CH00012601","DEALER_005","2020-01-01",133671.72
"CH00012617","DEALER_005","2020-01-01",65554.98
"CH00012633","DEALER_005","2020-01-01",108612.00
"CH00012638","DEALER_005","2020-01-01",66205.20
"CH00012688","DEALER_005","2020-01-01",74923.30
"CH00012691","DEALER_005","2020-01-01",118900.00
"CH00012698","DEALER_005","2020-01-01",185266.44
"CH00012703","DEALER_005","2020-01-01",205327.25
"CH00012705","DEALER_005","2020-01-01",65111.27
"CH00012736","DEALER_005","2020-01-01",66978.63
"CH00012743","DEALER_005","2020-01-01",195836.55
"CH00012762","DEALER_005","2020-01-01",113887.05
"CH00012806","DEALER_005","2020-01-01",118939.77
"CH00012813","DEALER_005","2020-01-01",63084.24
"CH00012838","DEALER_005","2020-01-01",114752.75
"CH00012863","DEALER_005","2020-01-01",63546.12
"CH00012879","DEALER_005","2020-01-01",142053.74
"CH00012885","DEALER_005","2020-01-01",66200.47
"CH00012937","DEALER_005","2020-01-01",72316.54
"CH00012955","DEALER_005","2020-01-01",116545.53
"CH00012959","DEALER_005","2020-01-01",253954.48
